"State","District","Date","Year","Month","Avg_smlvl_at15cm","Agency_name"
"Andaman & Nicobar","North And Middle Andaman","2024-03-27","2024","03","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2024-03-28","2024","03","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2024-03-30","2024","03","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2024-03-31","2024","03","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2024-03-29","2024","03","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2024-03-01","2024","03","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2024-03-02","2024","03","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2024-03-03","2024","03","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2024-03-04","2024","03","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2024-03-05","2024","03","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2024-03-06","2024","03","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2024-03-07","2024","03","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2024-03-08","2024","03","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2024-03-09","2024","03","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2024-03-10","2024","03","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2024-03-11","2024","03","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2024-03-12","2024","03","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2024-03-13","2024","03","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2024-03-14","2024","03","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2024-03-15","2024","03","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2024-03-16","2024","03","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2024-03-17","2024","03","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2024-03-18","2024","03","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2024-03-19","2024","03","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2024-03-20","2024","03","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2024-03-21","2024","03","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2024-03-22","2024","03","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2024-03-23","2024","03","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2024-03-24","2024","03","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2024-03-25","2024","03","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2024-03-26","2024","03","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2024-03-27","2024","03","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2024-03-28","2024","03","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2024-03-30","2024","03","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2024-03-31","2024","03","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2024-03-29","2024","03","NA","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2024-03-01","2024","03","14.5330647297","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2024-03-02","2024","03","14.5119159418","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2024-03-03","2024","03","14.4895042273","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2024-03-04","2024","03","14.468821892","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2024-03-05","2024","03","14.4514696246","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2024-03-06","2024","03","14.432994226","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2024-03-07","2024","03","14.4151875512","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2024-03-08","2024","03","14.3981738034","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2024-03-09","2024","03","14.3806355538","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2024-03-10","2024","03","14.366931685","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2024-03-11","2024","03","14.3525912971","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2024-03-12","2024","03","14.3369770335","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2024-03-15","2024","03","14.2981765272","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2024-03-16","2024","03","14.2821232463","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2024-03-13","2024","03","14.3290953442","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2024-03-14","2024","03","14.3073313709","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2024-03-17","2024","03","14.2685253986","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2024-03-18","2024","03","14.2580778651","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2024-03-19","2024","03","14.2474786667","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2024-03-20","2024","03","14.2368654267","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2024-03-21","2024","03","14.227492898","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2024-03-22","2024","03","14.2198049813","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2024-03-23","2024","03","14.2135179903","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2024-03-24","2024","03","14.2033415463","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2024-03-25","2024","03","14.1944273223","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2024-03-26","2024","03","14.1869472838","NRSC VIC MODEL"
